Short reference,Type,Region,Iconic,Patronymic,Papponymic,Title,Divider,Divider type,Border,Border type,Orientation,Object shape,Material,Perforation,Yahwistic name,Yahwistic patronym,Elohistic name,Elohistic patronym,Belonging mark (lamed),Filiation mark (bn/bt),Provenance,Size range
WSS 466,Bipartite,Judah,FALSE,,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,,,,,TRUE,TRUE,Jerusalem,[80-100]%
WSS 605,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,,TRUE,,FALSE,TRUE,FALSE,Jerusalem,[80-100]%
WSS 474,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem,
WSS 660,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,,TRUE,,Horizontal,,,,TRUE,,FALSE,,TRUE,TRUE,Jerusalem,[60-79]%
WSS 427,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem,[80-100]%
WSS 510,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,,,,,TRUE,,FALSE,TRUE,TRUE,Jerusalem,[60-79]%
WSS 464,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Biconcave,TRUE,Double-line,Horizontal,,,,,,,,TRUE,TRUE,Jerusalem,
WSS 595,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,,FALSE,,TRUE,TRUE,Jerusalem,[60-79]%
WSS 518,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,,FALSE,,TRUE,TRUE,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B9,Plain aniconic,Judah,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem,
CSAPI Jerusalem 521,Tripartite,Judah,,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Vertical,,,,TRUE,,FALSE,,,,Jerusalem,
CSAPI Jerusalem 291,,Judah,TRUE,,,,TRUE,Double-line,TRUE,Double-line,Vertical,,,,,,,,,,Jerusalem,
CSAPI Jerusalem 293,,Judah,,TRUE,,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,,,,,TRUE,,,,,Jerusalem,
CSAPI Jerusalem 294,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,,FALSE,FALSE,,,Jerusalem,[80-100]%
Mazar & Livyatan Ben-Arie 2015: n. B4,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem,
Ben-Ami and Tchekhanovets 2010: 70-72,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Vertical,,,,FALSE,TRUE,FALSE,FALSE,,,Jerusalem,
CSAPI Jerusalem 285,,Judah,TRUE,,,,,,,,,,,,,,,,,,Jerusalem,
Faust 2011,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Vertical,,,,TRUE,TRUE,FALSE,FALSE,,,Tel Eton,[60-79]%
Barkay 2011,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,Jerusalem,
Reich 2012,,Judah,,,,FALSE,TRUE,Single-line,,,Vertical,,,,,,,,,,Jerusalem,
Gadot et al. 2013,Bipartite,Judah,FALSE,,FALSE,,TRUE,Double-line,TRUE,,Horizontal,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B1-B2,Bipartite,Judah,FALSE,TRUE,FALSE,,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B3,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Symmetric,,,,FALSE,FALSE,TRUE,FALSE,,FALSE,Jerusalem,[80-100]%
