Short reference,Type,Region,Iconic,Patronymic,Papponymic,Title,Divider,Divider type,Border,Border type,Orientation,Object shape,Material,Perforation,Yahwistic name,Yahwistic patronym,Elohistic name,Elohistic patronym,Belonging mark,Filiation mark,Size ratio
WSS 416,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,,Horizontal,,,,TRUE,,FALSE,,TRUE,TRUE,[80-100]%
WSS 530,Plain aniconic,Judah,FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,Double-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,[60-79]%
Aharoni 1968: no. 8,,Judah,,,,,TRUE,Double-line,TRUE,,Horizontal,,,,,,,,,,
Aharoni 1968: no. 9,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,,Horizontal,,,,TRUE,,FALSE,,,TRUE,
Aharoni 1968: no. 10,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,,,Horizontal,,,,TRUE,FALSE,,TRUE,,FALSE,
Aharoni 1968: no. 11,,Judah,,,,,TRUE,Lotus-bud,TRUE,,Horizontal,,,,,,,,,,
Aharoni 1968: no. 12,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,,Horizontal,,,,TRUE,,FALSE,,TRUE,,
Aharoni 1968: no. 13,,Judah,,,,,TRUE,,,,Horizontal,,,,,,,,,,
Aharoni 1968: no. 14,,Judah,,,,,,,,,Horizontal,,,,,,,,,,[60-79]%
Aharoni 1968: no. 15,,Judah,,,,,,,,,Horizontal,,,,,,,,,,
Aharoni 1968: no. 16,,Judah,,,,,TRUE,Double-line,,,Horizontal,,,,,,,,,,
Aharoni 1968: no. 17,,Judah,,,,,,,,,Horizontal,,,,,,,,,,[80-100]%
WSS 661,,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Vertical,,,,,,,,TRUE,FALSE,
WSS 568,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,TRUE,Double-line,Horizontal,,,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,[80-100]%
WSS 459,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 470,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,[60-79]%
WSS 596,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 458,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 500,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,[80-100]%
WSS 420,,Judah,FALSE,TRUE,FALSE,TRUE,TRUE,Double-line,TRUE,,Vertical,,,,FALSE,,,FALSE,TRUE,TRUE,[80-100]%
WSS 636,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,[60-79]%
WSS 448,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,,,,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,[80-100]%
WSS 541,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 450,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,[60-79]%
WSS 447,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,,,,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,[60-79]%
WSS 515,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 467,,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Ladder pattern,TRUE,Single-line,Horizontal,,,,,,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 637,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 626,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 469,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 440,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line terminating in loops,TRUE,,Horizontal,,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,[80-100]%
WSS 638,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 508,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 437,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,[80-100]%
WSS 599,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 463,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,,,,TRUE,,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 503,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 588,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
WSS 581,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Biconcave,TRUE,Double-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 644,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 429,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,[60-79]%
WSS 441,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,,Horizontal,,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,[80-100]%
WSS 511,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 643,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 573,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line with dot(s),TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 509,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,TRUE,,Horizontal,,,,FALSE,FALSE,,FALSE,TRUE,TRUE,[80-100]%
WSS 482,,Judah,FALSE,,,,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,,FALSE,,TRUE,TRUE,[80-100]%
WSS 586,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,
WSS 466,Bipartite,Judah,FALSE,,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,,,,,TRUE,TRUE,[80-100]%
WSS 605,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,,TRUE,,FALSE,TRUE,FALSE,[80-100]%
WSS 474,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,
WSS 660,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,,TRUE,,Horizontal,,,,TRUE,,FALSE,,TRUE,TRUE,[60-79]%
WSS 427,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 510,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,,,,,TRUE,,FALSE,TRUE,TRUE,[60-79]%
WSS 464,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Biconcave,TRUE,Double-line,Horizontal,,,,,,,,TRUE,TRUE,
WSS 595,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,,FALSE,,TRUE,TRUE,[60-79]%
WSS 518,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,,FALSE,,TRUE,TRUE,
Mazar & Livyatan Ben-Arie 2015: n. B9,Plain aniconic,Judah,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,
CSAPI Jerusalem 521,Tripartite,Judah,,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Vertical,,,,TRUE,,FALSE,,,,
CSAPI Jerusalem 291,,Judah,TRUE,,,,TRUE,Double-line,TRUE,Double-line,Vertical,,,,,,,,,,
CSAPI Jerusalem 293,,Judah,,TRUE,,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,,,,,TRUE,,,,,
CSAPI Jerusalem 294,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,,FALSE,FALSE,,,[80-100]%
Mazar & Livyatan Ben-Arie 2015: n. B4,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,
Ben-Ami and Tchekhanovets 2010: 70-72,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Vertical,,,,FALSE,TRUE,FALSE,FALSE,,,
CSAPI Jerusalem 285,,Judah,TRUE,,,,,,,,,,,,,,,,,,
Faust 2011,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Vertical,,,,TRUE,TRUE,FALSE,FALSE,,,[60-79]%
Barkay 2011,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,
Reich 2012,,Judah,,,,FALSE,TRUE,Single-line,,,Vertical,,,,,,,,,,
Gadot et al. 2013,Bipartite,Judah,FALSE,,FALSE,,TRUE,Double-line,TRUE,,Horizontal,,,,,,,,,,
Miglio 2014,Exergual,Israel,,FALSE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Vertical,,,,FALSE,,FALSE,,FALSE,,[60-79]%
Mazar & Livyatan Ben-Arie 2015: n. B1-B2,Bipartite,Judah,FALSE,TRUE,FALSE,,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B3,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Symmetric,,,,FALSE,FALSE,TRUE,FALSE,,FALSE,[80-100]%
