Short Reference,Type,Polity,Iconic,Patronymic,Papponymic,Title,Divider,Divider Type,Border,Border Type,Orientation,Shape,Material,Size ratio,Perforated,Yahwistic Name,Yahwistic Father,Elohistic Name,Elohistic Father,Belonging Mark,Filiation Mark,Provenance
WSS 0466,Bipartite,Judah,FALSE,UNKNOWN,FALSE,FALSE,TRUE,TBD,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,Jerusalem
WSS 0467,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Ladder pattern,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0469,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0470,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0474,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0482,UNKNOWN,Judah,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,UNKNOWN,Jerusalem
WSS 0498,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Lachish
WSS 0500,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Jerusalem
WSS 0503,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
WSS 0508,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
