Short Reference,Type,Polity,Iconic,Patronymic,Papponymic,Title,Divider,Divider Type,Border,Border Type,Orientation,Shape,Material,Size ratio,Perforated,Yahwistic Name,Yahwistic Father,Elohistic Name,Elohistic Father,Belonging Mark,Filiation Mark,Provenance
Aharoni 1968: no. 10,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,?,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,FALSE,FALSE,FALSE,UNKNOWN,FALSE,Lachish
Aharoni 1968: no. 11,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Lotus-bud,TRUE,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Lachish
Aharoni 1968: no. 12,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,?,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,UNKNOWN,Lachish
Aharoni 1968: no. 13,UNKNOWN,Judah,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TBD,TRUE,?,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Lachish
Aharoni 1968: no. 14,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Lachish
Aharoni 1968: no. 15,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Lachish
Aharoni 1968: no. 16,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Single-line,UNKNOWN,,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Lachish
Aharoni 1968: no. 17,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Lachish
Aharoni 1968: no. 8,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,TRUE,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Lachish
Aharoni 1968: no. 9,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,?,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,UNKNOWN,TRUE,Lachish
Ben-Ami and Misgav  2016: fig. 2,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,Scaraboid,Stone,UNKNOWN,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
Ben-Ami and Misgav  2016: fig. 3,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Rope-pattern ,TRUE,Single-line,Horizontal,Scaraboid,Stone,[80-100] %,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
Ben-Ami and Tchekhanovets 2010: 70-2,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Vertical,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
CSSPI Beth Shemesh 217,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Square,Square-shaped piece,Stone,[80-100] %,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Beth Shemesh
CSSPI Beth Shemesh 23,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Scaraboid,Stone,[60-80[ % ,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Beth Shemesh
CSSPI Jerusalem 102,Bipartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,Scaraboid,Organic,[60-80[ % ,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Jerusalem
CSSPI Jerusalem 125,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[80-100] %,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
CSSPI Jerusalem 126,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Bifacial plaque,Metal,[80-100] %,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Jerusalem
CSSPI Jerusalem 127,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,Scaraboid,Stone,[60-80[ % ,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
CSSPI Jerusalem 226,UNKNOWN,Judah,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Jerusalem 28,Bipartite,Judah,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[60-80[ % ,TBD,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,Jerusalem
CSSPI Jerusalem 285,UNKNOWN,Judah,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Jerusalem 290,Bipartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,[80-100] %,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Jerusalem
CSSPI Jerusalem 291,UNKNOWN,Judah,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,TRUE,Double-line,Vertical,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,Jerusalem
CSSPI Jerusalem 292,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,Scaraboid,Organic,[60-80[ % ,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,UNKNOWN,Jerusalem
CSSPI Jerusalem 293,UNKNOWN,Judah,UNKNOWN,TRUE,UNKNOWN,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Jerusalem 294,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,FALSE,FALSE,FALSE,UNKNOWN,FALSE,Jerusalem
CSSPI Jerusalem 296,UNKNOWN,Judah,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,TRUE,Single-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Jerusalem 297,Bipartite,Judah,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,TRUE,Single-line?,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Jerusalem 298,Bipartite,Judah,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Jerusalem 299,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Jerusalem 300,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Jerusalem 301,Bipartite,Judah,FALSE,TRUE,UNKNOWN,FALSE,TRUE,Double-line,TRUE,,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,Jerusalem
CSSPI jerusalem 302,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Jerusalem 303,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Jerusalem 304,Bipartite,Judah,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,FALSE,,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,Jerusalem
CSSPI Jerusalem 305,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,FALSE,,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Jerusalem 306,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,TRUE,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Jerusalem 310,Plain aniconic,Judah,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,Horizontal,Scaraboid,Stone,[60-80[ % ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,Jerusalem
CSSPI Jerusalem 337,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,scaraboid,Stone,[60-80[ % ,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
CSSPI Jerusalem 338,Bipartite,Judah,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,Double-line,TRUE,Double-line,Horizontal,Scaraboid,Organic,UNKNOWN,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,Jerusalem
CSSPI Jerusalem 339,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Organic,[80-100] %,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Jerusalem
CSSPI Jerusalem 340,Plain iconic,Judah,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,Vertical,Scaraboid,Stone,[80-100] %,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,Jerusalem
CSSPI Jerusalem 341,Exergual,Judah,TRUE,FALSE,FALSE,FALSE,TRUE,Single-line,,Single-line,Vertical,scaraboid,Stone,[60-80[ % ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,Jerusalem
CSSPI Jerusalem 342,UNKNOWN,Judah,FALSE,TRUE,UNKNOWN,FALSE,UNKNOWN,UNKNOWN,TRUE,Double-line,Horizontal,Scaraboid,Organic,UNKNOWN,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Jerusalem
CSSPI Jerusalem 351,Plain iconic,Judah,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,Vertical,Scaraboid,Stone,[40-60[ % ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Jerusalem
CSSPI Jerusalem 44a,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,Scaraboid,Artificial?,[80-100] %,TBD,TRUE?,TRUE,FALSE,FALSE,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Jerusalem 44b,Bipartite,Judah,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,TRUE,Single-line?,Horizontal,Scaraboid,Artificial,[60-80[ % ,TBD,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Jerusalem 521,Tripartite,Judah,UNKNOWN,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Vertical,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN,Jerusalem
CSSPI Khirbet Abu Tabaq 1,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TBD,TBD,Horizontal,Scaraboid,Stone,[80-100] %,TBD,TRUE,UNKNOWN,FALSE,UNKNOWN,UNKNOWN,TRUE,Khirbet Abu Tabaq
Faust 2011,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,?,Vertical,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Tel Eton
Finkielsztejn and Gorzalczany 2010: Fig. 7,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,UNKNOWN,Stone,[60-80[ % ,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,En Tut
Gadot et al. 2013,Bipartite,Judah,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,Double-line,TRUE,,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
Klingbeil et al. 2019: no. A-B,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Lachish
Klingbeil et al. 2019: no. C,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Lachish
Lipschits 2011,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Organic,[80-100] %,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ramat Rahel
Mazar & Livyatan Ben-Arie 2015: n. B9,Plain aniconic,Judah,FALSE,TRUE,TRUE,FALSE,FALSE,,FALSE,,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B1-B2,Bipartite,Judah,FALSE,TRUE,FALSE,UNKNOWN,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B3,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,,Double-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B4,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B5,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,TRUE,TRUE,FALSE,FALSE,UNKNOWN,TRUE,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B6,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Ladder pattern,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B7,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B8,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B10,UNKNOWN,Judah,UNKNOWN,TRUE,UNKNOWN,UNKNOWN,TRUE,Double-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B11,Bipartite,Judah,UNKNOWN,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,FALSE,FALSE,UNKNOWN,UNKNOWN,TRUE,,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B12,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B13,UNKNOWN,Judah,FALSE,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,TBD,TRUE,Double-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,FALSE,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B14,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B15,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,,Single-line,Horizontal,UNKNOWN,UNKNOWN,[60-80[ % ,UNKNOWN,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B16,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,TRUE,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B17,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TBD,TBD,,Single-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B18,UNKNOWN,Judah,UNKNOWN,TRUE,UNKNOWN,FALSE,TRUE,Double-line,,Double-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B19,UNKNOWN,Judah,UNKNOWN,TRUE,UNKNOWN,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B20,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,,Double-line,Horizontal,UNKNOWN,UNKNOWN,[80-100] %,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,TRUE,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B21,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B22,UNKNOWN,Judah,UNKNOWN,TRUE,UNKNOWN,FALSE,TBD,TBD,TRUE,Single-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B23,UNKNOWN,Judah,UNKNOWN,TRUE,UNKNOWN,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B24,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B25,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Single-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B26,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Single-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B27,UNKNOWN,Judah,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B28,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B29,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B30,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B31,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Single-line,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,Jerusalem
Mazar & Livyatan Ben-Arie 2015: n. B32,UNKNOWN,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Jerusalem
