Type,Polity,Iconic,Patronymic,Papponymic,Title,Divider,DividerType,Border,BorderType,Orientation,Material,Perforated,BelongingMark,FiliationMark
Handle,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE
Handle,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE
Handle,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,TRUE,FALSE
Handle,Judah,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,TRUE,FALSE
Handle,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,TRUE,FALSE
Handle,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,?,UNKNOWN,UNKNOWN,TRUE,FALSE
Handle,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,?,UNKNOWN,UNKNOWN,TRUE,FALSE
Handle,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,FALSE,,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Handle,Israel,TRUE,FALSE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Vertical,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Handle,Judah,UNKNOWN,TRUE,FALSE,FALSE,UNKNOWN,TBD,UNKNOWN,UNKNOWN,Square,UNKNOWN,UNKNOWN,TRUE,FALSE
Handle,Judah,FALSE,TRUE,FALSE,FALSE,FALSE,,Borderless?,Borderless?,Horizontal,UNKNOWN,UNKNOWN,FALSE,FALSE
Handle,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,TBD,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Handle,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,TRUE,UNKNOWN
Handle,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,TRUE,FALSE
Handle,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,TRUE,FALSE
Handle,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,TRUE,FALSE
Handle,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line?,Horizontal,UNKNOWN,UNKNOWN,TRUE,FALSE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Square,Stone,TRUE,TRUE,FALSE
Seal,Israel,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,Stone,TRUE,TRUE,FALSE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Stone,TRUE,TRUE,FALSE
Seal,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,Organic,TRUE,TRUE,FALSE
Seal,Judah,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,Vertical,Stone,TRUE,TRUE,FALSE
Seal,Judah,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,Double-line,TRUE,Double-line,Horizontal,Organic,TRUE,TRUE,UNKNOWN
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Stone,TRUE,TRUE,TRUE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Organic,TRUE,TRUE,FALSE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Stone,TRUE,TRUE,TRUE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Metal,TRUE,TRUE,FALSE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,Stone,TRUE,TRUE,TRUE
Bulla,Judah,UNKNOWN,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Vertical,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Bulla,Judah,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,Double-line,TRUE,,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Seal,Judah,TRUE,FALSE,FALSE,FALSE,TRUE,Single-line,,Single-line,Vertical,Stone,FALSE,TRUE,FALSE
Seal,Judah,FALSE,TRUE,UNKNOWN,FALSE,UNKNOWN,UNKNOWN,TRUE,Double-line,Horizontal,Organic,TRUE,UNKNOWN,TRUE
Seal,Judah,FALSE,TRUE,TRUE,FALSE,TRUE,Double-line,TRUE,Double-line,Vertical,,TBD,TRUE,TRUE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Stone,TRUE,TRUE,FALSE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,Organic,TRUE,TRUE,UNKNOWN
Seal,Judah,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,Vertical,Stone,FALSE,FALSE,FALSE
Bulla,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,?,Vertical,UNKNOWN,UNKNOWN,TRUE,FALSE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Organic,TRUE,FALSE,FALSE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Rope-pattern ,TRUE,Single-line,Horizontal,Stone,TRUE,TRUE,TRUE
Seal,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,Stone,TRUE,TRUE,TRUE
Seal,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Stone,TRUE,TRUE,FALSE
Bulla,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE
Bulla,Judah,?,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Vertical,UNKNOWN,UNKNOWN,TRUE,TRUE
Bulla,Judah,FALSE,TRUE,UNKNOWN,UNKNOWN,FALSE,,FALSE?,Borderless,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Bulla,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,TRUE,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Bulla,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,?,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,TRUE
Bulla,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,?,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE
Bulla,Judah,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Lotus-bud,TRUE,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Bulla,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,TBD,TRUE,?,Horizontal,UNKNOWN,UNKNOWN,TRUE,UNKNOWN
Bulla,Judah,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TBD,TRUE,?,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Bulla,Judah,FALSE,TRUE,FALSE,UNKNOWN,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Bulla,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,,Double-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE
Bulla,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,TRUE,TRUE
